relevance,tone,actionability,rationale,essay_id
3.33,3.33,3.33,"Relevance: 3.3333
Tone: 3.3333
Actionability: 3.3333",11984
1.0,1.0,1.0,"Relevance: 0.0
Tone: 0.0
Actionability: 0.0

Reasoning: The critique does not provide",9297
3.75,3.75,3.75,"Relevance: 7.5
Tone: 7.5
Actionability: 7.5

Reasoning: The feedback demonstrates",16043
3.33,3.33,3.33,"Relevance: 3.3333
Tone: 3.3333
Actionability: 3.3333",16094
3.33,3.33,3.33,"Relevance: 6.6667
Tone: 6.6667
Actionability: 6.6667",7484
3.33,3.33,3.33,"Relevance: 3.3333
Tone: 3.3333
Actionability: 3.3333",13014
3.75,3.75,3.75,"Relevance: 7.5
Tone: 7.5
Actionability: 7.5

Reasoning: The feedback demonstrates",13464
3.33,3.33,3.33,"Relevance: 3.3333
Tone: 3.3333
Actionability: 3.3333",6297
1.0,1.0,1.0,"Relevance: 0.0
Tone: 0.0
Actionability: 0.0

Reasoning: The essay demonstrates",9169
3.33,3.33,3.33,"Relevance: 3.3333
Tone: 3.3333
Actionability: 3.3333",10444
3.33,3.33,3.33,"Relevance: 3.3333
Tone: 3.3333
Actionability: 3.3333",15646
3.33,3.33,3.33,"Relevance: 3.3333
Tone: 3.3333
Actionability: 3.3333",6164
3.33,3.33,3.33,"Relevance: 6.6667
Tone: 6.6667
Actionability: 6.6667",16577
1.0,1.0,1.0,"Relevance: 0.0
Tone: 0.0
Actionability: 0.0

Reasoning: The feedback is not relevant",9033
1.0,1.0,1.0,"Relevance: 0.0
Tone: 0.0
Actionability: 0.0

Reasoning: The feedback is not relevant",12443
1.0,1.0,1.0,"Relevance: 0.0
Tone: 0.0
Actionability: 0.0

Reasoning: The feedback is not relevant",6224
3.33,3.33,3.33,"Relevance: 6.6667
Tone: 6.6667
Actionability: 6.6667",6555
1.0,1.0,1.0,"Relevance: 0.0
Tone: 0.0
Actionability: 0.0

Reasoning: The feedback is not relevant",16556
5.0,5.0,5.0,"Relevance: 5.0
Tone: 5.0
Actionability: 5.0

Reasoning: The feedback is highly relevant",15586
5.0,5.0,5.0,"Relevance: 5.0
Tone: 5.0
Actionability: 5.0

Reasoning: The feedback is highly relevant",10399
